names_original,names_wo_authors,scientificName_status,scientificName_new
Leandra euphorbioides (Naudin) D`El Rei Souza & Baumgratz,Leandra euphorbioides Souza,name_w_authors,Leandra euphorbioides
Dimerostemma episcopale (H.Rob.) H.Rob.,Dimerostemma episcopale (H.Rob.),name_w_authors,Dimerostemma episcopale
Aspidosperma eburneum Allem. ex Saldanha,Aspidosperma eburneum Saldanha,name_w_authors,Aspidosperma eburneum
Cyrtocymura harleyi (H.Rob.) H.Rob.,Cyrtocymura harleyi (H.Rob.),name_w_authors,Cyrtocymura harleyi
Echinocoryne echinocephala (H.Rob.) H.Rob.,Echinocoryne echinocephala (H.Rob.),name_w_authors,Echinocoryne echinocephala
Lepidaploa hagei (H.Rob.) H.Rob.,Lepidaploa hagei (H.Rob.),name_w_authors,Lepidaploa hagei
Lepidaploa pinheiroi (H.Rob.) H.Rob.,Lepidaploa pinheiroi (H.Rob.),name_w_authors,Lepidaploa pinheiroi
Lessingianthus bishopii (H.Rob.) H.Rob.,Lessingianthus bishopii (H.Rob.),name_w_authors,Lessingianthus bishopii
Lessingianthus caiapoensis (H.Rob.) H.Rob.,Lessingianthus caiapoensis (H.Rob.),name_w_authors,Lessingianthus caiapoensis
Lessingianthus carvalhoi (H.Rob.) H.Rob.,Lessingianthus carvalhoi (H.Rob.),name_w_authors,Lessingianthus carvalhoi
Lessingianthus cristalinae (H.Rob.) H.Rob.,Lessingianthus cristalinae (H.Rob.),name_w_authors,Lessingianthus cristalinae
Lessingianthus eitenii (H.Rob.) H.Rob.,Lessingianthus eitenii (H.Rob.),name_w_authors,Lessingianthus eitenii
Lessingianthus fonsecae (H.Rob.) H.Rob.,Lessingianthus fonsecae (H.Rob.),name_w_authors,Lessingianthus fonsecae
Lessingianthus grearii (H.Rob.) H.Rob.,Lessingianthus grearii (H.Rob.),name_w_authors,Lessingianthus grearii
Lessingianthus heringeri (H.Rob.) H.Rob.,Lessingianthus heringeri (H.Rob.),name_w_authors,Lessingianthus heringeri
Lessingianthus pseudopiptocarphus (H.Rob.) H.Rob.,Lessingianthus pseudopiptocarphus (H.Rob.),name_w_authors,Lessingianthus pseudopiptocarphus
Lessingianthus regis (H.Rob.) H.Rob.,Lessingianthus regis (H.Rob.),name_w_authors,Lessingianthus regis
Lessingianthus santosii (H.Rob.) H.Rob.,Lessingianthus santosii (H.Rob.),name_w_authors,Lessingianthus santosii
Lessingianthus soderstroemii (H.Rob.) H.Rob.,Lessingianthus soderstroemii (H.Rob.),name_w_authors,Lessingianthus soderstroemii
Lessingianthus souzae (H.Rob.) H.Rob.,Lessingianthus souzae (H.Rob.),name_w_authors,Lessingianthus souzae
Lessingianthus subcarduoides (H.Rob.) H.Rob.,Lessingianthus subcarduoides (H.Rob.),name_w_authors,Lessingianthus subcarduoides
Vernonanthura almedae (H.Rob.) H.Rob.,Vernonanthura almedae (H.Rob.),name_w_authors,Vernonanthura almedae
Vernonanthura angulata (H.Rob.) H.Rob.,Vernonanthura angulata (H.Rob.),name_w_authors,Vernonanthura angulata
Centrosema teresae M.B.Ferreira & Sousa Costa,Centrosema teresae Costa,name_w_authors,Centrosema teresae
Periandra pujalu Emmerich & Senna,Periandra pujalu Senna,name_w_authors,Periandra pujalu
Stylosanthes aurea M.B.Ferreira & Sousa Costa,Stylosanthes aurea Costa,name_w_authors,Stylosanthes aurea
Stylosanthes campestris M.B.Ferreira & Sousa Costa,Stylosanthes campestris Costa,name_w_authors,Stylosanthes campestris
Stylosanthes debilis M.B.Ferreira & Sousa Costa,Stylosanthes debilis Costa,name_w_authors,Stylosanthes debilis
Stylosanthes linearifolia M.B.Ferreira & Sousa Costa,Stylosanthes linearifolia Costa,name_w_authors,Stylosanthes linearifolia
Stylosanthes macrocephala M.B.Ferreira & Sousa Costa,Stylosanthes macrocephala Costa,name_w_authors,Stylosanthes macrocephala
Stylosanthes pilosa M.B.Ferreira & Sousa Costa,Stylosanthes pilosa Costa,name_w_authors,Stylosanthes pilosa
