id,scientificName,names_wo_author
582360,Ceratium subrobustum (Jørg.) Steem.Niels.,Ceratium subrobustum
582361,Pabstiella savioi Luer & Toscano,Pabstiella savioi
582362,Neoceratium pentagonum var. subrobustum (Jørg.) F.Gómez et al.,Neoceratium pentagonum
582363,Specklinia erecta Luer & Toscano,Specklinia erecta
582365,Weidmannia tatei (Ames & C.Schweinf.) G.A.Romero & Carnevali,Weidmannia tatei
582366,Pabstiella lueriana Fraga & L.Kollmann,Pabstiella lueriana
582367,Pabstiella muricatifolia Fraga & L.Kollmann,Pabstiella muricatifolia
582368,Pabstiella villosisepala Fraga & L.Kollmann,Pabstiella villosisepala
582369,Trichocentrum schwambachiae (V.P.Casto & Toscano) Meneguzzo,Trichocentrum schwambachiae
582372,Tetraselmis bichlora (F.Ettl) Norris et al.,Tetraselmis bichlora
582374,Scherffelia bichlora (H.Ettl & O.Ettl) Massjuk & Lilitsk,Scherffelia bichlora
582375,Scherffelia incisa (Nygaard) Massjuk & Lilitsk,Scherffelia incisa
582376,Tetraselmis incisa (Nygaard) Norris et al.,Tetraselmis incisa
582378,Physurus debilis var. major Warming,Physurus debilis
582379,Resultomonas moestrupii Marin,Resultomonas moestrupii
582380,Jacquemontia grisea Buril,Jacquemontia grisea
582381,Jacquemontia staplesii Buril,Jacquemontia staplesii
582382,Apinagia dissecta (Wedd.) Engl.,Apinagia dissecta
582383,Apinagia gardneriana Tul.,Apinagia gardneriana
582384,Jacquemontia blanchetii var. major Choisy,Jacquemontia blanchetii
582385,"Pabstiella varellae Toscano, Luer & Jacques Klein",Pabstiella varellae
582386,Pabstiella diffusiflora (C.Schwenf.) Luer & Toscano,Pabstiella diffusiflora
582387,Pabstiella dracula (Seehawer) Luer & Toscano,Pabstiella dracula
582388,Pabstiella ochracea (Porsch) Luer & Toscano,Pabstiella ochracea
582389,Pabstiella pantherina (Seehawer) Luer & Toscano,Pabstiella pantherina
582390,Pabstiella punctata (Barb.Rodr.) Luer & Toscano,Pabstiella punctata
582391,Pabstiella purpurea (Seehawer) Luer & Toscano,Pabstiella purpurea
582392,Specklinia barbosae (Schltr.) Luer & Toscano,Specklinia barbosae
582394,Calliandra trinervia var. carbonaria (Benth.) Barneby,Calliandra trinervia
582397,Salzmannia arborea J.G. Jardim,Salzmannia arborea
582398,Didymium floccoides Nann. -Brem. et Y. Yamam.,Didymium floccoides
582399,Specklinia bicolor (Barb.Rodr.) Luer,Specklinia bicolor
582430,Drosera chimaera Gonella & Rivadavia,Drosera chimaera
582431,Bignonia sanctae-crucis Zuntini,Bignonia sanctae-crucis
582432,Commelina catharinensis Hassemer et al.,Commelina catharinensis
582433,Drosera chiapasensis Matuda,Drosera chiapasensis
582437,"Pouzolzia saxophila Friis, Wilmot-Dear & A. K. Monro",Pouzolzia saxophila
582438,Xyris cervii E.D.Lozano & Wand.,Xyris cervii
582439,Cattleya cernua (Lindl.) Van den Berg,Cattleya cernua
582461,Cattleya alvarenguensis (Campacci) Van den Berg,Cattleya alvarenguensis
582500,Gomesa chrysothyrsus (Rchb.f. ex R.Wagner) M.W.Chase & N.H.Williams,Gomesa chrysothyrsus
582501,"Selaginella alstonii G.Heringer, Salino & Valdespino",Selaginella alstonii
582502,Selaginella blepharodella Valdespino,Selaginella blepharodella
582503,Selaginella crinita Valdespino,Selaginella crinita
582504,Gomesa calimaniorum (V.P.Castro & G.F.Carr) J.M.H.Shaw,Gomesa calimaniorum
582505,Gomesa regentii (V.P.Castro) J.M.H.Shaw,Gomesa regentii
582506,Gomesa trichodes (Lindl.) M.W.Chase & N.H.Williams,Gomesa trichodes
582507,Hardingia paranaensis (Kraenzl.) Docha Neto & Baptista,Hardingia paranaensis
582508,Gomesa paranaensis (Kraenzl.) M.W.Chase & N.H.Williams,Gomesa paranaensis
582509,Gomesa rhinoceros (Rchb.f.) M.W.Chase & N.H.Williams,Gomesa rhinoceros
582540,Brasilidium tapiraiense Campacci,Brasilidium tapiraiense
582541,Brasilidium regentii V.P.Castro & Marçal,Brasilidium regentii
582542,Gomesa taipiraense (Campacci) J.M.H.Shaw,Gomesa taipiraense
582543,Gomesa brunnipetala (Barb.Rodr.) M.W.Chase & N.H.Williams,Gomesa brunnipetala
582544,Gomesa majevskyi (Toscano & V.P.Castro) M.W.Chase & N.H.Williams,Gomesa majevskyi
582545,Coppensia majevskyi (Toscano & V.P.Castro) Campacci,Coppensia majevskyi
582546,Ampliglossum majevskyi (Toscano & V.P.Castro) Campacci,Ampliglossum majevskyi
582547,Gomesa flexuosa (Sims) M.W.Chase & N.H.Williams,Gomesa flexuosa
582548,Gomesa regentii (V.P.Castro & Chiron) M.W.Chase & N.H.Williams,Gomesa regentii
582549,Baptistonia pauloensis V.P.Castro & Laitano,Baptistonia pauloensis
582598,Trigonochilum myanthum (Lindl.) Senghas,Trigonochilum myanthum
582601,Oncidium majevskyi Toscano & V.P.Castro,Oncidium majevskyi
582606,Mayaca fluviatilis Aubl. var. fluviatilis,Mayaca fluviatilis
582630,Oncidium jamaicense Moir & A.D.Hawkes,Oncidium jamaicense
582631,Oncidium sanctae-anae Moir & A.D.Hawkes,Oncidium sanctae-anae
582632,Oncidium withnerianum Moir,Oncidium withnerianum
582633,Oncidium hartii Moir,Oncidium hartii
582634,Oncidium concavum Moir,Oncidium concavum
582635,Oncidium pulchellum subsp. concavum (Moir) Braem,Oncidium pulchellum
582636,Tolumnia concava (Moir) Braem,Tolumnia concava
582637,Oncidium pulchellum form. hartii (Moir) Withner,Oncidium pulchellum
582638,Oncidium pulchellum form. concavum (Moir) Withner,Oncidium pulchellum
582639,Oncidium pulchellum form. jamaicense (Moir & A.D.Hawkes) Withner,Oncidium pulchellum
582658,Oncidium cebolleta form. purum (L.C.Menezes) F.Barros & J.A.N.Bat.,Oncidium cebolleta
582664,Oncidium stramineum Bateman ex Lindl.,Oncidium stramineum
582692,Symphyglossum strictum (Cogn.) Schltr.,Symphyglossum strictum
582730,Oncidium urophyllum Lodd. ex Lindl.,Oncidium urophyllum
582746,Odontoglossum aureum (Lindl.) Rchb.f.,Odontoglossum aureum
582777,Oncidium schlimii Linden ex Lindl. & Paxton,Oncidium schlimii
582817,Oncidium brienianum var. sulphureum Rchb.f.,Oncidium brienianum
582819,Selaginella nanuzae Valdespino,Selaginella nanuzae
582823,Polybotrya matosii Canestraro & Labiak,Polybotrya matosii
582891,Symphyotrichum lanceolatum (Willd.) G.L.Nesom,Symphyotrichum lanceolatum
582903,Polybotrya scandens (Raddi) Christ,Polybotrya scandens
582904,Polybotrya salicifolia Lellinger,Polybotrya salicifolia
582908,Polybotrya macedoi Brade,Polybotrya macedoi
582969,Anemone macrorrhiza Dombey ex Eichl.,Anemone macrorrhiza
583063,Bauhinia uberlandiana Vaz & G.P. Lewis,Bauhinia uberlandiana
583095,Myriopus villosus (Salzm. ex DC.) J.I.M.Melo,Myriopus villosus
