names_original,names_wo_authors,scientificName_status,scientificName_new
Vernonanthura almedae (H.Rob.) H.Rob.,Vernonanthura almedae (H.Rob.),name_w_authors,Vernonanthura almedae
Bermudiana bulbosa (Mill.) Molina,Bermudiana bulbosa Molina,name_w_authors,Bermudiana bulbosa
Glomus brohultii Sieverd. & Herrera,Glomus brohultii Herrera,name_w_authors,Glomus brohultii
Vernonanthura vinhae (H.Rob.) H.Rob.,Vernonanthura vinhae (H.Rob.),name_w_authors,Vernonanthura vinhae
Coelomoron tropicale Senna et al.,Coelomoron tropicale Senna,name_w_authors,Coelomoron tropicale
Aldama goyasensis (H.Rob. & A.J.Moore) E.E.Schill. & Panero,Aldama goyasensis Panero,name_w_authors,Aldama goyasensis
Syagrus pompeoi K. Soares & R. Pimenta,Syagrus pompeoi Pimenta,name_w_authors,Syagrus pompeoi
Dactylaria saccardoana FR Barbosa & Gusmão,Dactylaria saccardoana Barbosa,name_w_authors,Dactylaria saccardoana
Aldama imbricata (Baker) E. E. Schill. & Panero,Aldama imbricata Panero,name_w_authors,Aldama imbricata
Aldama hypoleuca (S.F. Blake) E.E. Schill. & Panero,Aldama hypoleuca Panero,name_w_authors,Aldama hypoleuca
Phaseolus robusta Piper,Phaseolus robusta Piper,name_w_authors,Phaseolus robusta
Symplocos lanceolata form. intergerrima A.DC.,Symplocos lanceolata intergerrima,not_Genus_epithet_format,Symplocos lanceolata intergerrima
Matayba marginata form. genuina Radlk.,Matayba marginata genuina,not_Genus_epithet_format,Matayba marginata genuina
Matayba guianensis form. micrantha Aubl.,Matayba guianensis micrantha,not_Genus_epithet_format,Matayba guianensis micrantha
Matayba marginata form. elongata Radlk.,Matayba marginata elongata,not_Genus_epithet_format,Matayba marginata elongata
Capparis cynophallophora form. laetevirens L.,Capparis cynophallophora laetevirens,not_Genus_epithet_format,Capparis cynophallophora laetevirens
Capparis cynophallophora form. latifolia L.,Capparis cynophallophora latifolia,not_Genus_epithet_format,Capparis cynophallophora latifolia
Combretum jacquinii form. laxum (Jacq.) Eichler,Combretum jacquinii laxum,not_Genus_epithet_format,Combretum jacquinii laxum
Pogonophora schomburgkiana form. longifolia Miers ex Benth.,Pogonophora schomburgkiana longifolia,not_Genus_epithet_format,Pogonophora schomburgkiana longifolia
Peperomia diaphana form. major Dahlst.,Peperomia diaphana major,not_Genus_epithet_format,Peperomia diaphana major
Peperomia obtusifolia form. oblongifolia Miq.,Peperomia obtusifolia oblongifolia,not_Genus_epithet_format,Peperomia obtusifolia oblongifolia
Combretum jacquinii form. ovatifolium (Pohl) Eichler,Combretum jacquinii ovatifolium,not_Genus_epithet_format,Combretum jacquinii ovatifolium
"Borreria apodiensis E.L. Cabral,L.M. Miguel & E.B. Souza",Borreria apodiensis Souza,name_w_authors,Borreria apodiensis
Connarus manausensis C. Toledo & V. C. Souza,Connarus manausensis Souza,name_w_authors,Connarus manausensis
Connarus ramiflorus C. Toledo & V. C. Souza,Connarus ramiflorus Souza,name_w_authors,Connarus ramiflorus
"Borreria minensis E.L. Cabral, L.M. Miguel & E.B. Souza",Borreria minensis Souza,name_w_authors,Borreria minensis
"Sciodaphyllum asymmetricum (Frodin) Lowry, G.M. Plunkett & M.M. Mora",Sciodaphyllum asymmetricum Mora,name_w_authors,Sciodaphyllum asymmetricum
"Sciodaphyllum concolor (Frodin) Lowry, G.M. Plunkett & M.M. Mora",Sciodaphyllum concolor Mora,name_w_authors,Sciodaphyllum concolor
"Sciodaphyllum duidae (Steyerm.) Lowry, G.M. Plunkett & M.M. Mora",Sciodaphyllum duidae Mora,name_w_authors,Sciodaphyllum duidae
"Sciodaphyllum monospermum (Maguire, Steyerm. & Frodin) Lowry, G.M. Plunkett & M.M. Mora",Sciodaphyllum monospermum Mora,name_w_authors,Sciodaphyllum monospermum
"Sciodaphyllum tremuloideum (Maguire, Steyerm. & Frodin) Lowry, G.M. Plunkett & M.M. Mora",Sciodaphyllum tremuloideum Mora,name_w_authors,Sciodaphyllum tremuloideum
