names_original,names_wo_authors,Genus,Epithet,Anything_else,empty
Piper reflexum L. f.,Piper reflexum f.,Piper,reflexum,f.,FALSE
Eubrachion arnottii Hook. f.,Eubrachion arnottii f.,Eubrachion,arnottii,f.,FALSE
Jacquemontia polyantha (Schltdl. & Cham.) Hallier f.,Jacquemontia polyantha f.,Jacquemontia,polyantha,f.,FALSE
Moquilea salzmannii Hook. f.,Moquilea salzmannii f.,Moquilea,salzmannii,f.,FALSE
Cleome rytidosperma DC. ex Schult. f.,Cleome rytidosperma f.,Cleome,rytidosperma,f.,FALSE
Echinocactus joadii Hook. f.,Echinocactus joadii f.,Echinocactus,joadii,f.,FALSE
Bowlesia incana f. crassifolia Urb.,Bowlesia incana f. crassifolia,Bowlesia,incana,f.,FALSE
Cleome spinosa Jacq. f. spinosa,Cleome spinosa f. spinosa,Cleome,spinosa,f.,FALSE
Hydrocotyle leucocephala f. nervis Urb.,Hydrocotyle leucocephala f.,Hydrocotyle,leucocephala,f.,FALSE
Hydrocotyle quinqueloba f. palacea Urb.,Hydrocotyle quinqueloba f.,Hydrocotyle,quinqueloba,f.,FALSE
Hydrocotyle quinqueloba f. subglabra Urb.,Hydrocotyle quinqueloba f. subglabra,Hydrocotyle,quinqueloba,f.,FALSE
Cattleya aclandiae f. alba (L.C.Menezes) F.Barros & J.A.N.Bat.,Cattleya aclandiae f. alba,Cattleya,aclandiae,f.,FALSE
Curtia tenella f. tenuifolia Malme (Malme),Curtia tenella f. tenuifolia,Curtia,tenella,f.,FALSE
Tradescantia fluminensis f. albovittata (Pynaert) Voss,Tradescantia fluminensis f.,Tradescantia,fluminensis,f.,FALSE
Bredemeyera myrtifolia f. huberiana (Chodat) Marques,Bredemeyera myrtifolia f. huberiana,Bredemeyera,myrtifolia,f.,FALSE
Phthirusa theobromae f. parvifolia Eichler,Phthirusa theobromae f. parvifolia,Phthirusa,theobromae,f.,FALSE
Carex brasiliensis f. robusta C.B.Clarke ex Kük.,Carex brasiliensis f. robusta,Carex,brasiliensis,f.,FALSE
Phoradendron acinacifolium f. microcarpum Kuntze,Phoradendron acinacifolium f. microcarpum,Phoradendron,acinacifolium,f.,FALSE
Passiflora edulis f. flavicarpa O.Deg.,Passiflora edulis f. flavicarpa,Passiflora,edulis,f.,FALSE
Passiflora edulis Sims f. edulis,Passiflora edulis f. edulis,Passiflora,edulis,f.,FALSE
Sanchezia nobilis Hook. f.,Sanchezia nobilis f.,Sanchezia,nobilis,f.,FALSE
Sanchezia thinophila f. glabra Leonard,Sanchezia thinophila f. glabra,Sanchezia,thinophila,f.,FALSE
Stenogastra concinna Hook. f.,Stenogastra concinna f.,Stenogastra,concinna,f.,FALSE
Maxillaria consanguinea f. pallida Hoehne,Maxillaria consanguinea f. pallida,Maxillaria,consanguinea,f.,FALSE
Hyospathe elata hort. ex Hook. f.,Hyospathe elata f.,Hyospathe,elata,f.,FALSE
Victoria cruziana Orb. f. cruziana,Victoria cruziana f. cruziana,Victoria,cruziana,f.,FALSE
Victoria cruziana f. trickeri Malme,Victoria cruziana f.,Victoria,cruziana,f.,FALSE
Victoria cruziana f. mattogrossensis Malme,Victoria cruziana f. mattogrossensis,Victoria,cruziana,f.,FALSE
