names_original,names_wo_authors,Genus,Epithet,Anything_else,empty
Jacquemontia gracillima (Choisy) Hallier f.,Jacquemontia gracillima f.,Jacquemontia,gracillima,f.,FALSE
Jacquemontia heterantha (Nees & Mart.) Hallier f.,Jacquemontia heterantha f.,Jacquemontia,heterantha,f.,FALSE
Jacquemontia mucronifera (Choisy) Hallier f.,Jacquemontia mucronifera f.,Jacquemontia,mucronifera,f.,FALSE
Jacquemontia rufa (Choisy) Hallier f.,Jacquemontia rufa f.,Jacquemontia,rufa,f.,FALSE
Jacquemontia spiciflora (Choisy) Hallier f.,Jacquemontia spiciflora f.,Jacquemontia,spiciflora,f.,FALSE
Dyckia dissitiflora Schult. & Schult. f.,Dyckia dissitiflora f.,Dyckia,dissitiflora,f.,FALSE
Jacquemontia multiflora (Choisy) Hallier f.,Jacquemontia multiflora f.,Jacquemontia,multiflora,f.,FALSE
Bonamia balansae Hallier f.,Bonamia balansae f.,Bonamia,balansae,f.,FALSE
Jacquemontia cephalantha Hallier f.,Jacquemontia cephalantha f.,Jacquemontia,cephalantha,f.,FALSE
Jacquemontia fusca (Meisn.) Hallier f.,Jacquemontia fusca f.,Jacquemontia,fusca,f.,FALSE
Peronospora hyoscyami f. sp. tabacina Skalický,Peronospora hyoscyami f. tabacina sp.,Peronospora,hyoscyami,f.,FALSE
Sparattanthelium hirtum Hallier f.,Sparattanthelium hirtum f.,Sparattanthelium,hirtum,f.,FALSE
Merremia pentaphylla (L.) Hallier f.,Merremia pentaphylla f.,Merremia,pentaphylla,f.,FALSE
Merremia sinuata (Ortega) Hallier f.,Merremia sinuata f.,Merremia,sinuata,f.,FALSE
Calonyction setosum (Ker Gawl.) Hallier f.,Calonyction setosum f.,Calonyction,setosum,f.,FALSE
Vittadinia trifurcata (Less.) Benth. & Hook. f. ex Griseb.,Vittadinia trifurcata f.,Vittadinia,trifurcata,f.,FALSE
Solanum laurifolium L. f.,Solanum laurifolium f.,Solanum,laurifolium,f.,FALSE
Drepanostachyum falcatum (Nees) Keng f.,Drepanostachyum falcatum f.,Drepanostachyum,falcatum,f.,FALSE
Bambusa apus Schult. & Shult. f.,Bambusa apus f.,Bambusa,apus,f.,FALSE
Rivea corymbosa (L.) Hallier f.,Rivea corymbosa f.,Rivea,corymbosa,f.,FALSE
Rivea nervosa (Burm. f.) Hallier f.,Rivea nervosa f.,Rivea,nervosa,f.,FALSE
Ipomoea chiliantha Hallier f.,Ipomoea chiliantha f.,Ipomoea,chiliantha,f.,FALSE
Ramalina inflata (Hook. f. & Taylor) Hook. f. & Taylor,Ramalina inflata f. f.,Ramalina,inflata,f.,FALSE
Alloplectus lynchii Hook. f.,Alloplectus lynchii f.,Alloplectus,lynchii,f.,FALSE
Merremia calycina (Meisn.) Hallier f.,Merremia calycina f.,Merremia,calycina,f.,FALSE
Jacquemontia bifida Hallier f.,Jacquemontia bifida f.,Jacquemontia,bifida,f.,FALSE
Hookeria marginata Hook. f. & Wilson,Hookeria marginata f.,Hookeria,marginata,f.,FALSE
Bryum laevigatum Hook. f. & Wilson,Bryum laevigatum f.,Bryum,laevigatum,f.,FALSE
Oncidium pulchellum f. sancta-anae (Moir & A.D.Hawkes) Withner,Oncidium pulchellum f. sancta-anae,Oncidium,pulchellum,f.,FALSE
