scientificName,scientificName_status,scientificName_new
Conchocarpus heterophyllus (A. St.-Hil.) Kallunki & Pirani,name_w_authors,Conchocarpus heterophyllus
Esenbeckia irwiniana Kaastra,name_w_authors,Esenbeckia irwiniana
Esenbeckia leiocarpa Engl.,name_w_authors,Esenbeckia leiocarpa
Esenbeckia oligantha Kaastra,name_w_authors,Esenbeckia oligantha
Galipea jasminiflora (A.St.-Hil.) Engl.,name_w_authors,Galipea jasminiflora
Helietta glaziovii (Engl.) Pirani,name_w_authors,Helietta glaziovii
Metrodorea mollis Taub.,name_w_authors,Metrodorea mollis
Metrodorea nigra A.St.-Hil.,name_w_authors,Metrodorea nigra
Metrodorea stipularis Mart.,name_w_authors,Metrodorea stipularis
Pilocarpus pennatifolius var. pilosus Kaastra,variety,Pilocarpus pennatifolius
Pilocarpus spicatus A.St.-Hil. subsp. spicatus,subspecies,Pilocarpus spicatus
Pilocarpus spicatus A.St.-Hil. var. spicatus,variety,Pilocarpus spicatus
Pilocarpus trachylophus Holmes,name_w_authors,Pilocarpus trachylophus
Zanthoxylum gardneri Engl.,name_w_authors,Zanthoxylum gardneri
Zanthoxylum monogynum A.St.-Hil. subsp. monogynum,subspecies,Zanthoxylum monogynum
Zanthoxylum stelligerum Turcz.,name_w_authors,Zanthoxylum stelligerum
Arrojadoa rhodantha (Gürke) Britton & Rose,name_w_authors,Arrojadoa rhodantha
Arthrocereus rondonianus Backeb. & Voll,name_w_authors,Arthrocereus rondonianus
Brasilicereus markgrafii Backeb. & Voll,name_w_authors,Brasilicereus markgrafii
Cereus adelmarii (Rizzini & Mattos) P.J.Braun,name_w_authors,Cereus adelmarii
Cereus jamacaru DC.,name_w_authors,Cereus jamacaru
Cereus mirabella N.P.Taylor,name_w_authors,Cereus mirabella
Cereus saddianus (Rizzini & Mattos) P.J.Braun,name_w_authors,Cereus saddianus
Cereus triangularis K.Schum.,name_w_authors,Cereus triangularis
Cipocereus bradei (Backeb. & Voll) Zappi & N.P.Taylor,name_w_authors,Cipocereus bradei
Cipocereus crassisepalus (Buining & Brederoo) Zappi & N.P.Taylor,name_w_authors,Cipocereus crassisepalus
Cipocereus minensis (Werderm.) Ritter,name_w_authors,Cipocereus minensis
Cipocereus minensis subsp. leiocarpus N.P.Taylor & Zappi,subspecies,Cipocereus minensis
Cipocereus minensis (Werderm.) Ritter subsp. minensis,subspecies,Cipocereus minensis
Cipocereus pusilliflorus (Ritter) Zappi & N.P.Taylor,name_w_authors,Cipocereus pusilliflorus
Facheiroa cephaliomelana Buining & Brederoo,name_w_authors,Facheiroa cephaliomelana
Facheiroa squamosa (Gürke) P.J.Braun & Esteves,name_w_authors,Facheiroa squamosa
Leocereus bahiensis Britton & Rose,name_w_authors,Leocereus bahiensis
Micranthocereus albicephalus (Buining & Brederoo) F.Ritter,name_w_authors,Micranthocereus albicephalus
Micranthocereus auriazureus Buining & Brederoo,name_w_authors,Micranthocereus auriazureus
Micranthocereus dolichospermaticus (Buining & Brederoo) F.Ritter,name_w_authors,Micranthocereus dolichospermaticus
Micranthocereus estevesii (Buining & Brederoo) F.Ritter,name_w_authors,Micranthocereus estevesii
Micranthocereus flaviflorus Buining & Brederoo,name_w_authors,Micranthocereus flaviflorus
Micranthocereus purpureus (Gürke) F.Ritter,name_w_authors,Micranthocereus purpureus
Micranthocereus streckeri Van Heek & Van Criek.,name_w_authors,Micranthocereus streckeri
Micranthocereus violaciflorus Buining,name_w_authors,Micranthocereus violaciflorus
Pereskia stenantha Ritter,name_w_authors,Pereskia stenantha
Pilosocereus aureispinus (Buining & Brederoo) Ritter,name_w_authors,Pilosocereus aureispinus
Pilosocereus aurisetus (Werderm.) Byles & G.D.Rowley,name_w_authors,Pilosocereus aurisetus
Pilosocereus aurisetus subsp. aurilanatus (Ritter) Zappi,subspecies,Pilosocereus aurisetus
Pilosocereus aurisetus (Werderm.) Byles & G.D.Rowley subsp. aurisetus,subspecies,Pilosocereus aurisetus
Pilosocereus flavipulvinatus (Buining & Brederoo) Ritter,name_w_authors,Pilosocereus flavipulvinatus
Pilosocereus floccosus Byles & Rowley,name_w_authors,Pilosocereus floccosus
Pilosocereus floccosus Byles & Rowley subsp. floccosus,subspecies,Pilosocereus floccosus
Pilosocereus floccosus subsp. quadricostatus (Ritter) Zappi,subspecies,Pilosocereus floccosus
Pilosocereus fulvilanatus (Buining & Brederoo) Ritter,name_w_authors,Pilosocereus fulvilanatus
Pilosocereus fulvilanatus (Buining & Brederoo) Ritter subsp. fulvilanatus,subspecies,Pilosocereus fulvilanatus
Pilosocereus fulvilanatus subsp. rosae (P.J.Braun) Zappi,subspecies,Pilosocereus fulvilanatus
Pilosocereus glaucochrous (Werderm.) Byles & G.D.Rowley,name_w_authors,Pilosocereus glaucochrous
Pilosocereus gounellei subsp. zehntneri (Britton & Rose) Zappi,subspecies,Pilosocereus gounellei
Pilosocereus machrisii (E.Y.Dawson) Backeb.,name_w_authors,Pilosocereus machrisii
Pilosocereus pachycladus F.Ritter,name_w_authors,Pilosocereus pachycladus
Pilosocereus pachycladus F.Ritter subsp. pachycladus,subspecies,Pilosocereus pachycladus
Selenicereus wittii (K.Schum.) G.D.Rowley,name_w_authors,Selenicereus wittii
Tacinga saxatilis (Ritter) N.P.Taylor & Stuppy,name_w_authors,Tacinga saxatilis
