scientificName,scientificName_status,scientificName_new
Conchocarpus heterophyllus,possibly_ok,Conchocarpus heterophyllus
Esenbeckia irwiniana,possibly_ok,Esenbeckia irwiniana
Esenbeckia leiocarpa,possibly_ok,Esenbeckia leiocarpa
Esenbeckia oligantha,possibly_ok,Esenbeckia oligantha
Galipea jasminiflora,possibly_ok,Galipea jasminiflora
Helietta glaziovii,possibly_ok,Helietta glaziovii
Metrodorea mollis,possibly_ok,Metrodorea mollis
Metrodorea nigra,possibly_ok,Metrodorea nigra
Metrodorea stipularis,possibly_ok,Metrodorea stipularis
Pilocarpus pennatifolius,possibly_ok,Pilocarpus pennatifolius
Pilocarpus spicatus,possibly_ok,Pilocarpus spicatus
Pilocarpus spicatus,possibly_ok,Pilocarpus spicatus
Pilocarpus trachylophus,possibly_ok,Pilocarpus trachylophus
Zanthoxylum gardneri,possibly_ok,Zanthoxylum gardneri
Zanthoxylum monogynum,possibly_ok,Zanthoxylum monogynum
Zanthoxylum stelligerum,possibly_ok,Zanthoxylum stelligerum
Arrojadoa rhodantha,possibly_ok,Arrojadoa rhodantha
Arthrocereus rondonianus,possibly_ok,Arthrocereus rondonianus
Brasilicereus markgrafii,possibly_ok,Brasilicereus markgrafii
Cereus adelmarii,possibly_ok,Cereus adelmarii
Cereus jamacaru,possibly_ok,Cereus jamacaru
Cereus mirabella,possibly_ok,Cereus mirabella
Cereus saddianus,possibly_ok,Cereus saddianus
Cereus triangularis,possibly_ok,Cereus triangularis
Cipocereus bradei,possibly_ok,Cipocereus bradei
Cipocereus crassisepalus,possibly_ok,Cipocereus crassisepalus
Cipocereus minensis,possibly_ok,Cipocereus minensis
Cipocereus minensis,possibly_ok,Cipocereus minensis
Cipocereus minensis,possibly_ok,Cipocereus minensis
Cipocereus pusilliflorus,possibly_ok,Cipocereus pusilliflorus
Facheiroa cephaliomelana,possibly_ok,Facheiroa cephaliomelana
Facheiroa squamosa,possibly_ok,Facheiroa squamosa
Leocereus bahiensis,possibly_ok,Leocereus bahiensis
Micranthocereus albicephalus,possibly_ok,Micranthocereus albicephalus
Micranthocereus auriazureus,possibly_ok,Micranthocereus auriazureus
Micranthocereus dolichospermaticus,possibly_ok,Micranthocereus dolichospermaticus
Micranthocereus estevesii,possibly_ok,Micranthocereus estevesii
Micranthocereus flaviflorus,possibly_ok,Micranthocereus flaviflorus
Micranthocereus purpureus,possibly_ok,Micranthocereus purpureus
Micranthocereus streckeri,possibly_ok,Micranthocereus streckeri
Micranthocereus violaciflorus,possibly_ok,Micranthocereus violaciflorus
Pereskia stenantha,possibly_ok,Pereskia stenantha
Pilosocereus aureispinus,possibly_ok,Pilosocereus aureispinus
Pilosocereus aurisetus,possibly_ok,Pilosocereus aurisetus
