taxonid,family,genus,scientificname,specificepithet,infraspecificepithet,scientificnameauthorship,taxonomicstatus,taxonid_base,scientificName_base
894,Rutaceae,Pilocarpus,Pilocarpus pinnatus Mart. ex Engl.,pinnatus,NA,Mart. ex Engl.,SINONIMO,888,Pilocarpus pennatifolius
889,Rutaceae,Pilocarpus,Pilocarpus pennatifolius var. genuinus Hassl.,pennatifolius,genuinus,Hassl.,SINONIMO,888,Pilocarpus pennatifolius
896,Rutaceae,Pilocarpus,Pilocarpus selloanus Engl.,selloanus,NA,Engl.,SINONIMO,888,Pilocarpus pennatifolius
897,Rutaceae,Pilocarpus,Pilocarpus selloanus var. gracilis Chodat & Hassl.,selloanus,gracilis,Chodat & Hassl.,SINONIMO,888,Pilocarpus pennatifolius
886,Rutaceae,Pilocarpus,Pilocarpus parviflorus Nees & Mart.,parviflorus,NA,Nees & Mart.,SINONIMO,898,Pilocarpus spicatus
877,Rutaceae,Pilocarpus,Pilocarpus lealii Machado,lealii,NA,Machado,SINONIMO,898,Pilocarpus spicatus
878,Rutaceae,Pilocarpus,Pilocarpus lisboanus Badini,lisboanus,NA,Badini,SINONIMO,898,Pilocarpus spicatus
678,Rutaceae,Fagara,Fagara monogyna (A.St.-Hil.) Engl.,monogyna,NA,(A.St.-Hil.) Engl.,SINONIMO,1133,Zanthoxylum monogynum
694,Rutaceae,Fagara,Fagara pohliana (Engl.) Engl.,pohliana,NA,(Engl.) Engl.,SINONIMO,1133,Zanthoxylum monogynum
721,Rutaceae,Fagara,Fagara tuberculata (Engl.) Engl.,tuberculata,NA,(Engl.) Engl.,SINONIMO,1133,Zanthoxylum monogynum
1077,Rutaceae,Zanthoxylum,Zanthoxylum arenarium Engl.,arenarium,NA,Engl.,SINONIMO,1133,Zanthoxylum monogynum
1153,Rutaceae,Zanthoxylum,Zanthoxylum pohlianum Engl.,pohlianum,NA,Engl.,SINONIMO,1133,Zanthoxylum monogynum
1146,Rutaceae,Zanthoxylum,Zanthoxylum pauciflorum Engl.,pauciflorum,NA,Engl.,SINONIMO,1133,Zanthoxylum monogynum
1187,Rutaceae,Zanthoxylum,Zanthoxylum tuberculatum Engl.,tuberculatum,NA,Engl.,SINONIMO,1133,Zanthoxylum monogynum
636,Rutaceae,Fagara,Fagara arenaria (Engl.) Engl.,arenaria,NA,(Engl.) Engl.,SINONIMO,1133,Zanthoxylum monogynum
690,Rutaceae,Fagara,Fagara pauciflora (Engl.) Engl.,pauciflora,NA,(Engl.) Engl.,SINONIMO,1133,Zanthoxylum monogynum
129774,Cactaceae,Facheiroa,Facheiroa tenebrosa P.J.Braun & Esteves,tenebrosa,NA,P.J.Braun & Esteves,SINONIMO,1517,Facheiroa cephaliomelana
78052,Cactaceae,Pilosocereus,Pilosocereus subsimilis Rizzini & A.Mattos,subsimilis,NA,Rizzini & A.Mattos,SINONIMO,1668,Pilosocereus pachycladus
78051,Cactaceae,Pilosocereus,Pilosocereus cenepequei Rizzini & A.Mattos,cenepequei,NA,Rizzini & A.Mattos,SINONIMO,1668,Pilosocereus pachycladus
137718,Aquifoliaceae,Ilex,Ilex domestica Reissek,domestica,NA,Reissek,SINONIMO,4904,Ilex paraguariensis
134230,Asteraceae,Piptocarpha,Piptocarpha pannosa Baker,pannosa,NA,Baker,SINONIMO,5480,Piptocarpha macropoda
22513,Combretaceae,Thiloa,Thiloa gracilis (Schott) Eichler,gracilis,NA,(Schott) Eichler,SINONIMO,6903,Combretum gracile
59247,Lamiaceae,Mesosphaerum,Mesosphaerum confertum (Pohl ex Benth.) Kuntze,confertum,NA,(Pohl ex Benth.) Kuntze,SINONIMO,8199,Hyptis conferta
58714,Lamiaceae,Hyptis,Hyptis constricta Briq.,constricta,NA,Briq.,SINONIMO,8199,Hyptis conferta
58867,Lamiaceae,Hyptis,Hyptis radula Mart. ex J.A.Schmidt,radula,NA,Mart. ex J.A.Schmidt,SINONIMO,8199,Hyptis conferta
59273,Lamiaceae,Mesosphaerum,Mesosphaerum excelsum (M.Martens & Galeotti) Kuntze,excelsum,NA,(M.Martens & Galeotti) Kuntze,SINONIMO,8199,Hyptis conferta
59277,Lamiaceae,Mesosphaerum,Mesosphaerum ferrugineum (Benth.) Kuntze,ferrugineum,NA,(Benth.) Kuntze,SINONIMO,8199,Hyptis conferta
59249,Lamiaceae,Mesosphaerum,Mesosphaerum constrictum Briq.,constrictum,NA,Briq.,SINONIMO,8199,Hyptis conferta
59307,Lamiaceae,Mesosphaerum,Mesosphaerum jurgensenii Briq.,jurgensenii,NA,Briq.,SINONIMO,8199,Hyptis conferta
59337,Lamiaceae,Mesosphaerum,Mesosphaerum lundii (Benth.) Kuntze,lundii,NA,(Benth.) Kuntze,SINONIMO,8199,Hyptis conferta
59405,Lamiaceae,Mesosphaerum,Mesosphaerum savannarum Briq.,savannarum,NA,Briq.,SINONIMO,8199,Hyptis conferta
59377,Lamiaceae,Mesosphaerum,Mesosphaerum passerinum (Mart. ex Benth.) Kuntze,passerinum,NA,(Mart. ex Benth.) Kuntze,SINONIMO,8238,Hyptis passerina
33172,Verbenaceae,Lippia,Lippia cipoensis Moldenke,cipoensis,NA,Moldenke,SINONIMO,8238,Hyptis passerina
61787,Myrtaceae,Eugenia,Eugenia acuminata Link,acuminata,NA,Link,SINONIMO,10823,Pimenta pseudocaryophyllus
61885,Myrtaceae,Eugenia,Eugenia caryophylla St.-Lég.,caryophylla,NA,St.-Lég.,SINONIMO,10823,Pimenta pseudocaryophyllus
62084,Myrtaceae,Eugenia,Eugenia leandriana O.Berg,leandriana,NA,O.Berg,SINONIMO,10823,Pimenta pseudocaryophyllus
62261,Myrtaceae,Eugenia,Eugenia pseudocaryophyllus (Gomes) DC.,pseudocaryophyllus,NA,(Gomes) DC.,SINONIMO,10823,Pimenta pseudocaryophyllus
63487,Myrtaceae,Myrtus,Myrtus caryophyllata Vell.,caryophyllata,NA,Vell.,SINONIMO,10823,Pimenta pseudocaryophyllus
63572,Myrtaceae,Myrtus,Myrtus pseudocaryophyllus Gomes,pseudocaryophyllus,NA,Gomes,SINONIMO,10823,Pimenta pseudocaryophyllus
63519,Myrtaceae,Myrtus,Myrtus fulvescens (Mart. ex DC.) Kiaersk.,fulvescens,NA,(Mart. ex DC.) Kiaersk.,SINONIMO,10823,Pimenta pseudocaryophyllus
63615,Myrtaceae,Myrtus,Myrtus velutina (O.Berg) Kiaersk.,velutina,NA,(O.Berg) Kiaersk.,SINONIMO,10823,Pimenta pseudocaryophyllus
