scientificName,scientificName_status,scientificName_new
Conchocarpus heterophyllus,possibly_ok,Conchocarpus heterophyllus
Esenbeckia irwiniana,possibly_ok,Esenbeckia irwiniana
Esenbeckia leiocarpa,possibly_ok,Esenbeckia leiocarpa
Esenbeckia oligantha,possibly_ok,Esenbeckia oligantha
Galipea jasminiflora,possibly_ok,Galipea jasminiflora
Helietta glaziovii,possibly_ok,Helietta glaziovii
Metrodorea mollis,possibly_ok,Metrodorea mollis
Metrodorea nigra,possibly_ok,Metrodorea nigra
Metrodorea stipularis,possibly_ok,Metrodorea stipularis
Pilocarpus pennatifolius,possibly_ok,Pilocarpus pennatifolius
Pilocarpus spicatus,possibly_ok,Pilocarpus spicatus
Pilocarpus spicatus,possibly_ok,Pilocarpus spicatus
Pilocarpus trachylophus,possibly_ok,Pilocarpus trachylophus
Zanthoxylum gardneri,possibly_ok,Zanthoxylum gardneri
Zanthoxylum monogynum,possibly_ok,Zanthoxylum monogynum
Zanthoxylum stelligerum,possibly_ok,Zanthoxylum stelligerum
Arrojadoa dinae,possibly_ok,Arrojadoa dinae
Arrojadoa rhodantha,possibly_ok,Arrojadoa rhodantha
Arthrocereus glaziovii,possibly_ok,Arthrocereus glaziovii
Arthrocereus melanurus,possibly_ok,Arthrocereus melanurus
Arthrocereus melanurus,possibly_ok,Arthrocereus melanurus
Arthrocereus melanurus,possibly_ok,Arthrocereus melanurus
Arthrocereus rondonianus,possibly_ok,Arthrocereus rondonianus
Arthrocereus spinosissimus,possibly_ok,Arthrocereus spinosissimus
Brasilicereus markgrafii,possibly_ok,Brasilicereus markgrafii
Cereus adelmarii,possibly_ok,Cereus adelmarii
Cereus jamacaru,possibly_ok,Cereus jamacaru
Cereus mirabella,possibly_ok,Cereus mirabella
Cereus saddianus,possibly_ok,Cereus saddianus
Cereus triangularis,possibly_ok,Cereus triangularis
Cipocereus bradei,possibly_ok,Cipocereus bradei
Cipocereus crassisepalus,possibly_ok,Cipocereus crassisepalus
Cipocereus minensis,possibly_ok,Cipocereus minensis
Cipocereus minensis,possibly_ok,Cipocereus minensis
Cipocereus minensis,possibly_ok,Cipocereus minensis
Cipocereus pusilliflorus,possibly_ok,Cipocereus pusilliflorus
Discocactus horstii,possibly_ok,Discocactus horstii
Discocactus placentiformis,possibly_ok,Discocactus placentiformis
Discocactus pseudoinsignis,possibly_ok,Discocactus pseudoinsignis
Facheiroa cephaliomelana,possibly_ok,Facheiroa cephaliomelana
Facheiroa squamosa,possibly_ok,Facheiroa squamosa
Hatiora salicornioides,possibly_ok,Hatiora salicornioides
Leocereus bahiensis,possibly_ok,Leocereus bahiensis
Melocactus bahiensis,possibly_ok,Melocactus bahiensis
Melocactus bahiensis,possibly_ok,Melocactus bahiensis
